,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
620,Pyrus betulaefolia,Birch-Leaved Pear,Tree,7.5,4-8,,LMH,SN,M,2,1,1.0
621,Quassia amara,"Bitterwood, Amargo Bark",Shrub,5.0,10-12,S,MH,SN,M,2,4,2.0
622,Quercus aucheri,Boz-Pirnal Oak,Shrub,5.0,7-10,S,MH,SN,DM,4,2,1.0
623,Quercus brantii,"Barro, Brant's oak",Tree,8.0,7-9,F,LMH,N,DM,3,2,3.0
624,Quercus douglasii,Blue Oak,Tree,12.0,8-11,S,MH,SN,DM,3,2,4.0
625,Quercus emoryi,"Black Oak, Emory oak",Tree,12.0,6-9,S,MH,SN,M,3,2,3.0
626,Quercus lamellosa,Bull Oak,Tree,35.0,7-10,,MH,SN,M,3,2,2.0
627,Quercus macrocarpa,"Burr Oak, Mossy Cup Oak",Tree,15.0,3-8,S,MH,SN,DM,3,2,4.0
628,Quercus marilandica,Blackjack Oak,Tree,10.0,6-9,S,MH,SN,DM,2,2,3.0
629,Quercus phillyreoides,"Black ridge oak,",Shrub,9.0,6-9,S,MH,SN,M,3,2,2.0
630,Quercus serrata,Bao li,Tree,15.0,4-8,,MH,SN,M,2,2,3.0
631,Quercus velutina,Black Oak,Tree,30.0,-,M,MH,SN,DM,2,3,3.0
632,Quercus x hybrid,Burgambel oak,Tree,30.0,3-8,M,MH,SN,DM,3,2,3.0
633,Ranunculus bulbosus,"Bulbous Buttercup, St. Anthony's turnip",Perennial,0.3,0-0,F,LMH,SN,M,1,2,0.0
634,Ranunculus pallasii,"Buttercup, Pallas' buttercup",Perennial,0.1,0-0,,LMH,SN,MWe,1,0,
635,Rhynchosinapis monensis,Isle Of Man Cabbage,Biennial,0.3,-,,LMH,SN,M,2,0,
636,Rhynchosinapis wrightii,Lundy Cabbage,Perennial,1.0,6-9,,LMH,SN,M,4,0,
637,Ribes burejense,"Bureja gooseberry,",Shrub,1.0,4-8,,LMH,SN,M,4,0,0.0
638,Ribes nigrum,"Blackcurrant, European black currant",Shrub,1.8,4-8,,LMH,SN,M,5,3,2.0
639,Ribes odoratum,Buffalo Currant,Shrub,2.5,4-8,,LMH,SN,M,4,1,
640,Ricinodendron heudelotii,"Manketti nut, Zambezi almond, African oil-nut-tree",Tree,40.0,10-12,F,LM,N,M,3,3,4.0
641,Robinia fertilis,Bristly Locust,Shrub,2.0,4-8,M,LMH,N,DM,0,0,2.0
642,Robinia hispida,"Bristly locust, Rose-acacia, or Moss locust",Shrub,3.5,4-8,F,LMH,N,DM,0,1,3.0
643,Robinia pseudoacacia,"Black Locust, Yellow Locust",Tree,25.0,4-9,F,LMH,N,DM,3,2,4.0
644,Rosa banksiae,Banksia Rose,Shrub,10.0,6-9,F,LMH,N,M,2,1,1.0
645,Rosa pimpinellifolia,"Burnet Rose, Scotch rose",Shrub,1.0,4-8,M,LMH,SN,M,2,1,3.0
646,Rubus baileyanus,Bailey's dewberry,Shrub,1.0,0-0,,LMH,SN,DM,2,0,1.0
647,Rubus cissoides,Bush Lawyer,Climber,4.0,-,F,LMH,N,M,2,0,1.0
648,Rubus fruticosus,"Blackberry, Shrubby blackberry",Shrub,3.0,5-9,F,LMH,FSN,M,5,3,2.0
649,Rubus moorei,Bush Lawyer,Shrub,3.0,0-0,,LMH,SN,M,3,0,1.0
650,Rubus occidentalis,Black Raspberry,Shrub,3.0,3-7,,LMH,SN,M,4,2,1.0
651,Rudbeckia hirta,"Black Eyed Susan, Coneflower, Gloriosa Daisy, Marguerite Jaune",Biennial/Perennial,2.0,4-9,M,LMH,SN,M,0,1,1.0
652,Rumex scutatus,"Buckler-Leaved Sorrel, French sorrel",Perennial,0.6,5-9,M,LMH,SN,M,4,1,2.0
653,Rumex vesicarius,Bladder Dock,Annual,0.0,-,,LMH,SN,DM,2,2,1.0
654,Ruscus aculeatus,Butcher's Broom - Knee Holly,Shrub,0.8,6-9,S,LMH,FS,DM,1,3,1.0
655,Sabal minor,"Bush Palmetto, Dwarf palmetto",Shrub,3.0,8-11,S,LMH,N,M,2,1,3.0
656,Sabatia angularis,"Bitter Bloom, Rosepink",Annual/Biennial,1.0,5-9,,LMH,SN,M,1,1,
657,Salix bebbiana,"Beak Willow, Bebb Willow",Shrub,7.0,3-7,F,LMH,N,MWe,0,2,4.0
658,Salix nigra,Black Willow,Tree,12.0,4-8,F,LMH,N,MWe,1,3,4.0
659,Salix pentandra,"Bay Willow, Laurel willow",Tree,10.0,2-5,F,LMH,N,MWe,1,3,3.0
660,Salsola soda,Barilla Plant. Oppositeleaf Russian Thistle,Annual,0.6,-,,LM,N,DM,1,0,1.0
661,Salvia clevelandii,"Blue Sage, Fragrant sage, Chaparral Sage",Shrub,0.6,8-11,M,LM,N,DM,1,0,
662,Salvia microphylla,Blackcurrant Sage,Perennial,1.2,7-10,,LM,N,DM,2,2,
663,Salvia sylvestris,"Balkan Clary, Woodland sage",Perennial,1.0,4-8,,LM,N,DM,1,0,
664,Salvia tomentosa,Balsamic Sage,Perennial,1.0,5-9,,LM,N,DM,1,0,
665,Sambucus caerulea,Blue Elder,Shrub,3.0,4-8,M,LMH,SN,DM,4,2,3.0
666,Sambucus melanocarpa,"Black Elder, Rocky Mountain elder",Shrub,4.0,5-9,,LMH,SN,M,2,2,
667,Samolus valerandi,"Brookweed, Seaside brookweed",Perennial,0.3,5-9,,LMH,N,MWeWa,2,1,
668,Sanguinaria canadensis,"Blood Root, Red Puccoon, Bloodroot",Perennial,0.2,4-9,S,LM,SN,M,0,3,1.0
669,Sanicula canadensis,Black Snakeroot,Biennial,1.0,-,,LMH,SN,M,0,1,
670,Sanicula chinensis,Bian Dou Cai,Perennial,0.6,-,,LMH,SN,M,1,0,
671,Sanseviera aethiopica,Bowstring Hemp,Perennial,0.6,9-11,,LM,N,DM,1,0,2.0
672,Sansevieria zeylanica,Bowstring hemp,Perennial,0.6,9-11,M,LMH,N,DM,0,2,4.0
673,Saponaria officinalis,"Soapwort, Bouncingbet",Perennial,1.0,4-8,M,LMH,SN,M,0,3,1.0
674,Sasa nipponica,Miyako-Zasa,Bamboo,0.8,6-9,,LMH,S,M,4,0,
675,Sasa palmata,"Broadleaf Bamboo, Bamboo",Bamboo,2.5,7-9,F,LMH,S,M,0,0,3.0
676,Scirpus caldwellii,,Perennial,1.5,-,,LMH,SN,M,0,0,
677,Scirpus lacustris,Bulrush,Perennial,2.5,4-8,,LMH,SN,MWeWa,3,1,2.0
678,Scirpus litoralis,Bulrush,Perennial,0.0,0-0,,LMH,SN,M,0,0,
679,Scirpus paludosus,Bayonet Grass,Perennial,0.5,-,,LMH,SN,MWeWa,2,0,
680,Scrophularia buergeriana,Buerger's Figwort,Perennial,1.2,-,,LMH,SN,M,0,2,
681,Scutellaria baicalensis,Baikal Skullcap - Huang-Qin,Perennial,0.3,4-8,,LM,SN,DM,1,3,
682,Scutellaria barbata,Barbed Skullcap,Annual,0.5,-,,LMH,SN,M,0,2,
683,Sedum spathulifolium,"Broadleaf Stonecrop, Purdy's stonecrop, Yosemite stonecrop, Stonecrop, Blood Leaf Sedum",Perennial,0.1,6-10,M,LMH,SN,DM,1,1,3.0
684,Senecio nemorensis,,Perennial,2.0,5-9,,LMH,SN,M,1,1,
685,Senegalia catechu,Black Catechu,Tree,20.0,10-12,F,LM,N,DM,2,3,4.0
686,Senna tora,"Stinking Cassia, Sickle senna",Annual,1.0,0-0,,LMH,SN,M,1,3,1.0
687,Sequoiadendron giganteum,"Big Tree, Giant sequoia, Giant Redwood, Sierra Redwood",Tree,90.0,6-8,F,LMH,SN,DM,0,0,2.0
688,Serenoa repens,Saw Palmetto,Shrub,3.0,8-11,S,LMH,N,M,2,3,2.0
689,Shepherdia argentea,"Buffalo Berry, Silver Buffaloberry,",Shrub,4.0,3-9,M,LMH,SN,DM,3,1,4.0
690,Shepherdia canadensis,"Buffalo Berry, Russet buffaloberry, Canada Buffaloberry",Shrub,2.5,2-6,M,LMH,SN,DM,3,2,3.0
691,Shibataea kumasasa,"Bamboo, Okame Zasa",Bamboo,0.8,6-9,S,LMH,S,M,0,0,3.0
692,Sicyos angulatus,"Bur Cucumber, Oneseed bur cucumber",Annual Climber,8.0,8-11,F,LMH,N,M,1,1,0.0
693,Sida rhombifolia,Broom Jute. Common Sida. Arrow-leaf Sida,Shrub,1.0,10-12,F,LM,N,M,2,3,3.0
694,Sidalcea malviflora,"Checkerbloom, Dwarf checkerbloom, California checkerbloom, Siskiyou checkerbloom",Perennial,0.8,5-9,,LMH,SN,M,3,0,
695,Silene firma,Catchfly,Annual/Biennial,0.9,-,,LMH,SN,M,1,2,
696,Silene vulgaris,"Bladder Campion, Maidenstears",Perennial,0.6,5-9,,LM,N,M,2,1,1.0
697,Simmondsia chinensis,Jojoba,Shrub,2.0,9-12,S,LM,N,M,2,2,3.0
698,Sinapis alba,White Mustard,Annual,0.6,5-9,F,LMH,SN,M,3,3,3.0
699,Sinapis arvensis,"Charlock, Charlock mustard, Wild mustard",Annual,0.8,5-9,,LMH,N,M,2,1,2.0
700,Sison amomum,Bastard Stone-Parsley,Biennial,1.0,-,,LMH,SN,M,2,1,
701,Sisyrinchium angustifolium,"Bermuda Blue-Eyed Grass, Narrowleaf blue-eyed grass",Perennial,0.4,3-7,,LMH,SN,M,1,1,
702,Smilax tamnoides,Bristly Greenbrier,Climber,0.0,-,,LMH,SN,M,2,2,
703,Solanum dulcamara,"Bittersweet. Bittersweet Nightshade, Climbing nightshade, Bittersweet, Deadly Nightshade, Poisonous",Perennial Climber,2.5,4-8,M,LMH,SN,M,0,3,0.0
704,Solanum nigrum,"Black Nightshade, Common Nightshade, Poisonberry, Black Nightshade",Annual,0.6,0-0,,LMH,N,DM,2,2,2.0
705,Sonneratia caseolaris,"Firefly mangrove, mangrove apple",Tree,15.0,10-12,M,LMH,N,MWe,2,2,4.0
706,Sophora secundiflora,"Mescal Bean, Texas Mountain Laurel",Tree,10.0,7-10,S,LMH,N,DM,0,1,3.0
707,Sorbopyrus auricularis,Bollwyller Pear,Tree,12.0,4-8,,LMH,SN,M,3,0,
708,Sparganium americanum,"Bur-Reed, American bur-reed",Perennial,1.0,0-0,,LMH,SN,WeWa,1,0,
709,Sparganium androcladum,Branching Bur-Reed,Perennial,1.2,-,,LMH,SN,WeWa,1,0,
710,Sparganium erectum,"Bur Reed, Simplestem bur-reed",Perennial,1.0,4-8,,LMH,FSN,WeWa,2,1,0.0
711,Spiraea prunifolia,Bridalwreath Spiraea,Shrub,2.5,4-8,M,LMH,SN,M,1,1,
712,Spiraea salicifolia,"Bridewort, Willowleaf meadowsweet",Shrub,1.8,4-8,,LMH,SN,M,1,1,1.0
713,Staphylea bumalda,,Tree,1.8,4-8,,LMH,SN,M,1,0,
714,Staphylea colchica,Bladdernut,Shrub,4.0,5-9,M,LMH,SN,M,1,1,1.0
715,Staphylea pinnata,Bladder Nut,Shrub,4.5,5-9,,LMH,SN,M,3,0,0.0
716,Stellaria alsine,"Bog Stitchwort, Bog chickweed",Perennial,0.3,0-0,,LMH,SN,M,1,2,
717,Stenotaphrum secundatum,"Buffalo Grass, St. Augustine Grass, St. Augustinegrass",Perennial,0.2,7-12,S,LMH,FSN,DMWe,0,0,4.0
718,Suaeda nigra,Bush Seepweed,Annual,1.5,-,,LMH,N,M,1,0,
719,Swartzia bannia,"Bannia, Banya",Tree,12.0,10-12,M,LM,N,M,0,2,4.0
720,Swartzia grandifolia,"Big leafed Swartzia, Coracao-de-Negro",Tree,15.0,10-12,M,LMH,N,M,0,0,4.0
721,Swietenia macrophylla,"Big Leaf Mahogany, Honduras Mahogany",Tree,35.0,10-12,S,MH,N,M,0,2,5.0
722,Synsepalum dulciferum,Miracle Berry,Shrub,4.0,10-12,F,LMH,N,MWe,4,0,2.0
723,Syzygium australe,Brush Cherry,Shrub,3.0,6-12,,LMH,SN,M,4,0,3.0
724,Syzygium paniculatum,Brush Cherry,Shrub,5.0,9-11,,LMH,SN,M,1,0,2.0
725,Tabebuia rosea,"Apamate, Pink Poui, Pink Tecoma, Rosy Trumpet Tree",Tree,20.0,10-12,M,LMH,N,DM,0,2,4.0
726,Talipariti elatum,Blue Mahoe,Tree,25.0,10-12,F,LMH,N,DM,0,2,4.0
727,Talipariti tiliaceum,"Beach Hibiscus, Sea Hibiscus, Cottontree, Mahoe",Tree,10.0,10-12,F,LMH,N,MWe,3,2,4.0
728,Tamus communis,Black Bryony,Perennial Climber,3.5,4-8,M,LMH,SN,M,1,2,
729,Tanacetum balsamita,"Alecost, Costmary",Perennial,0.9,5-9,,LMH,SN,DM,3,2,1.0
730,Terminalia bellirica,Beleric Myrobalan,Tree,35.0,10-12,M,LMH,N,DM,2,3,3.0
731,Terminalia chebula,"Black Myrobalan, Chebulic Myroblan,",Tree,25.0,10-12,S,LMH,N,M,3,5,4.0
732,Terminalia ferdinandiana,Billy Goat Plum,Tree,10.0,9-12,M,LM,N,M,4,2,0.0
733,Terminalia ivorensis,Black Afara,Tree,30.0,10-12,F,LMH,N,M,0,2,4.0
734,Tetragonia implexicoma,Bower Spinach,Perennial,0.5,-,,LMH,SN,M,0,0,
735,Thamnocalamus tessellatus,Bergbamboes,Bamboo,3.5,-,,LMH,SN,DM,0,0,2.0
736,Thelesperma gracile,Hopi tea greenthread,Perennial,0.8,-,,LMH,N,DM,1,0,1.0
737,Theobroma grandiflorum,"Cupuassu, Cupuacu",Tree,10.0,10-12,M,MH,S,M,4,3,3.0
738,Thermopsis villosa,"Aaron's rod, Carolina lupine",Perennial,1.5,5-8,S,LMH,SN,DM,0,0,3.0
739,Thuja orientalis,Biota,Tree,15.0,5-9,S,LMH,SN,DM,1,3,3.0
740,Thymus pulegioides,"Broad-Leaved Thyme, lemon thyme",Shrub,0.2,4-8,,LM,N,DM,2,2,2.0
741,Thyrsostachys siamensis,Monastery Bamboo,Bamboo,10.0,9-12,F,LMH,N,M,4,0,4.0
742,Tieghemella africana,Douka,Tree,45.0,10-12,F,LMH,FSN,M,3,2,4.0
743,Tieghemella heckelii,Baku,Tree,50.0,10-12,M,MH,N,M,4,2,4.0
744,Trichanthera gigantea,"Giant trichanthera, Nacadero",Tree,5.0,10-12,F,LMH,SN,M,2,2,3.0
745,Trichilia emetica,"Banket mahogany, Natal mahogany,",Tree,15.0,10-12,F,LMH,SN,DM,2,3,3.0
746,Trifolium dichotomum,Branched Indian Clover,Annual,0.6,0-0,,LMH,N,M,2,0,2.0
747,Trifolium macrocephalum,"Bighead Clover, Largehead clover",Perennial,0.3,4-8,,LMH,N,M,1,0,3.0
748,Trifolium ornithopodioides,"Birdsfoot Fenugreek, Bird clover",Annual/Perennial,0.2,0-0,,LMH,N,MWe,1,0,3.0
749,Trillium erectum,"Beth Root - Indian Balm, Red trillium, Wakerobin, Purple Trillium",Perennial,0.4,4-9,S,LMH,FSN,M,2,3,
750,Triteleia grandiflora,"Wild Hyacinth, Largeflower triteleia, Howell's triteleia",Bulb,0.7,4-8,,LM,N,DM,4,0,
751,Triteleia hyacinthina,"Hyacinth Brodiaea, White brodiaea",Bulb,0.7,4-8,,LM,N,DM,3,0,
752,Triteleia ixioides,"Pretty Face, Cook's triteleia, Golden brodiaea",Bulb,0.6,6-9,,LM,N,DM,3,0,
753,Triteleia laxa,"Grassnut, Ithuriel's spear",Bulb,0.5,6-9,,LMH,N,DM,4,0,
754,Triteleia peduncularis,"Longray Tripletlily, Long-ray brodiaea",Bulb,0.3,5-9,,LM,N,DM,3,0,
755,Triticum aestivum,"Bread Wheat, Common wheat",Annual,1.5,10-12,,LMH,N,M,4,2,2.0
756,Turraeanthus africanus,Avodire,Tree,25.0,10-12,M,LMH,SN,MWe,0,2,4.0
757,Tylosema esculentum,Marama Bean,Perennial,1.0,10-12,F,LM,N,DM,4,0,2.0
758,Typha elephantina,"Bora. Elephant grass, Indian reed-mace.",Perennial,3.0,10-12,F,LMH,SN,MWeWa,3,3,3.0
759,Typha orientalis,Broadleaf Cumbungi,Perennial,3.0,-,F,LMH,N,WeWa,4,3,2.0
760,Urochloa mosambicensis,"Sabi grass, Gonya grass, Bushveld signal grass",Perennial,1.2,10-12,F,LMH,SN,M,2,0,2.0
761,Utricularia vulgaris,Bladderwort,Perennial,0.0,4-8,,LMH,N,Wa,1,1,
762,Uvularia perfoliata,"Bellwort, Perfoliate bellwort",Perennial,0.4,4-8,,LM,FS,M,2,2,
763,Uvularia sessilifolia,"Bellwort, Sessileleaf bellwort",Perennial,0.3,4-8,F,LM,FS,M,2,1,
764,Vaccinium arboreum,Farkleberry,Tree,5.0,6-9,,LM,SN,M,2,1,3.0
765,Vaccinium fuscatum,Black Highbush Blueberry,Shrub,3.5,4-8,,LM,SN,MWe,3,0,0.0
766,Vaccinium myrtillus,"Bilberry, Whortleberry",Shrub,0.2,3-7,,LM,SN,M,4,3,1.0
767,Vaccinium ovalifolium,"Black Huckleberry, Oval-leaf blueberry",Shrub,3.0,3-7,,LM,SN,M,3,1,
768,Vaccinium uliginosum,Bog Bilberry,Shrub,0.8,0-0,,LM,SN,MWe,3,1,0.0
769,Valerianella radiata,Beaked Cornsalad,Annual,0.6,0-0,,LMH,N,DM,2,0,0.0
770,Vasconcellea x heilbornii,Babaco,Tree,2.0,10-12,M,LMH,N,M,4,0,0.0
771,Veratrum nigrum,Black Hellebore,Perennial,1.5,5-9,,LMH,SN,M,0,1,2.0
772,Veronica beccabunga,"Brooklime, European speedwell",Perennial,0.6,4-8,,LMH,SN,WeWa,1,1,
773,Veronica spuria,bastard speedwell,Perennial,0.5,3-7,,LMH,N,M,1,0,
774,Veronicastrum sibiricum,Blackroot,Perennial,0.8,5-9,,LMH,SN,M,0,2,
775,Veronicastrum virginicum,"Beaumont's Root, Culver's root, Bowman's Root, Culver's Root, Black Root",Perennial,1.2,3-9,F,LMH,N,M,0,3,
776,Vicia ervilia,Bitter Vetch,Annual,0.6,-,,LMH,SN,M,1,0,
777,Vicia faba major,"Broad Bean, Fava Bean",Annual,1.0,4-10,F,LMH,SN,M,4,1,3.0
778,Vicia sepium,Bush Vetch,Perennial Climber,1.0,5-9,,LMH,SN,M,1,0,3.0
779,Vigna mungo,"Black Gram, Urd Bean, Black Matpe, Black Mung Bean",Annual,1.0,10-12,F,LMH,N,MWe,4,2,2.0
780,Vigna unguiculata unguiculata,Black-Eyed Pea,Annual Climber,4.0,10-12,F,LMH,SN,DM,4,2,2.0
781,Viola pedata,"Bird's Foot Violet, Crowfoot Violet, Pansy Violet, Bird's Foot Violet",Perennial,0.1,4-9,S,LMH,SN,M,2,1,2.0
782,Vitellaria paradoxa,Shea Butter Tree,Tree,15.0,11-12,S,LMH,SN,DM,4,5,4.0
783,Vitex doniana,Black Plum,Tree,15.0,10-12,M,LMH,SN,M,4,3,4.0
784,Vitis acerifolia,"Bush Grape, Mapleleaf grape",Climber,10.0,5-9,,LMH,SN,DM,2,0,1.0
785,Vitis munsoniana,"Bird Grape, Munson's grape",Climber,0.0,0-0,,LMH,SN,DM,3,0,1.0
786,Vitis x doaniana,Bush Grape,Climber,10.0,-,,LMH,SN,DM,2,0,1.0
787,Waldsteinia ternata,Barren Strawberry,Perennial,0.2,4-8,F,LMH,SN,M,0,0,3.0
788,Washingtonia filifera,"Desert Fan Palm, California fan palm, California Washingtonia Palm, Petticoat Palm, Desert Fan Pal",Tree,12.0,9-11,M,LMH,N,DM,2,0,2.0
789,Wittsteinia vacciniacea,Baw-Baw Berry,Shrub,0.3,-,,LMH,SN,M,1,0,
790,Woodwardia radicans,"Chain Fern, Rooting chainfern",Fern,1.8,8-11,,LMH,S,MWe,0,1,2.0
791,Yucca constricta,Buckley's Yucca,Perennial,1.5,8-11,,LMH,SN,DM,2,0,2.0
1,Abies magnifica,"Californian Red Fir, Shasta red fir",Tree,60.0,4-8,M,LMH,FSN,M,0,0,2.0
2,Abies nordmanniana,"Caucasian Fir, Christmas Tree Fir, Nordmann",Tree,50.0,4-6,M,LMH,FSN,M,0,0,2.0
3,Abobra tenuifolia,Cranberry Gourd,Perennial Climber,3.5,8-11,,LM,N,DM,1,0,
4,Abroma augusta,Cotton Abroma. Perennial Indian Hemp.,Shrub,3.0,10-12,F,LMH,N,M,0,3,4.0
5,Abutilon ochsenii,,Shrub,4.0,7-10,,LMH,SN,M,3,0,
6,Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Annual,1.0,0-0,,LMH,SN,DM,3,2,4.0
7,Abutilon x hybridum,"Chinese Lantern, Flowering Maple",Shrub,3.0,9-11,F,LMH,SN,M,3,0,0.0
8,Acacia catechu,"Cutch tree, Catechu acacia",Tree,15.0,10-12,F,LMH,N,DM,1,2,3.0
9,Acacia colei,"Cole's wattle, Candelabra Wattle, Soap wattle,",Shrub,4.0,10-12,F,LMH,N,DM,3,2,3.0
10,Acacia sophorae,"Coastal Wattle, Acacia",Shrub,0.0,0-0,,LMH,N,DM,2,0,3.0
11,Acinos alpinus,Alpine Calamint,Perennial,0.5,4-8,,LMH,N,DM,1,1,
12,Aconitum columbianum,Columbian monkshood,Perennial,0.2,0-0,,LMH,SN,M,0,1,1.0
13,Acorus calamus,Sweet Flag - Calamus,Perennial,1.0,4-11,M,LMH,N,WeWa,3,4,4.0
14,Acrocomia aculeata,"Coyoli Palm. Gru-Gru Palm, Macaw palm",Tree,15.0,10-12,F,LMH,N,DM,3,1,2.0
15,Aegle marmelos,"Bael Tree, Golden Apple, Bengal Quince",Tree,10.0,10-12,S,LMH,N,M,3,3,4.0
16,Aesculus californica,"Californian Buckeye, California Horsechestnut",Tree,12.0,6-10,M,LMH,N,DM,3,1,2.0
17,Aesculus chinensis,Chinese Horse Chestnut,Tree,25.0,5-9,S,LMH,SN,M,3,1,3.0
18,Agastache cana,"Hoary Balm Of Gilead, Mosquito plant",Perennial,0.8,0-0,,LM,N,DM,2,0,
19,Agave parryi,"Century Plant, Parry's agave, Mescal",Perennial,0.5,9-11,S,LM,N,DM,3,1,2.0
20,Agave utahensis,Century Plant,Perennial,2.0,6-10,M,LM,N,DM,2,2,2.0
21,Agave utahensis discreta,Century Plant,Perennial,4.0,8-11,,LM,N,DM,3,1,2.0
22,Agave utahensis eborispina,Century Plant,Perennial,4.0,8-11,,LM,N,DM,3,1,2.0
23,Agrostemma githago,"Corncockle, Common corncockle",Annual,0.9,0-0,,LMH,SN,DM,1,1,0.0
24,Akebia trifoliata,"Akebia, Threeleaf Akebia",Climber,9.0,5-8,F,LMH,FSN,M,4,2,2.0
25,Alchornea cordifolia,Christmas Bush,Shrub,8.0,10-12,M,LMH,N,DMWe,2,4,3.0
26,Aleurites moluccanus,"Candle Nut, Country Walnut",Tree,20.0,10-12,F,LMH,N,DM,3,3,4.0
27,Alhagi maurorum,Camel Thorn,Shrub,2.0,6-10,,LM,N,DM,2,2,0.0
28,Allium canadense,"Canadian Garlic, Meadow garlic, Fraser meadow garlic, Hyacinth meadow garlic",Bulb,0.5,4-8,,LM,SN,MWe,4,2,2.0
29,Allium canadense mobilense,Canadian Garlic,Bulb,0.5,4-8,,LM,SN,MWe,5,2,1.0
30,Allium ramosum,Chinese Chives,Bulb,0.5,6-9,,LM,N,DM,4,2,1.0
31,Allium schoenoprasum,"Chives, Wild chives, Flowering Onion",Bulb,0.3,5-11,M,LMH,SN,M,5,2,3.0
32,Allium vineale,"Crow Garlic, Wild garlic, Compact onion, False Garlic, Wild, Onion",Bulb,0.6,5-8,M,LM,N,DM,3,2,2.0
33,Allocasuarina littoralis,"Black She Oak, Bull Oak, Wayetuck",Tree,8.0,9-11,F,LMH,N,M,1,0,4.0
34,Alnus nitida,West Himalayan Alder,Tree,30.0,7-10,,MH,SN,DMWe,0,1,3.0
35,Aloe arborescens,"Candelabra Aloe, Tree Aloe, Mountain Bush Aloe",Shrub,3.0,10-11,M,LM,SN,DM,2,5,3.0
36,Aloe ferox,"Cape Aloe, Bitter Aloe, Red Aloe, Cape Aloe, Alligator Jaw Aloe",Shrub,3.0,9-11,S,LM,N,D,2,5,3.0
37,Amaranthus palmeri,Careless Weed,Annual,0.9,7-12,,LMH,N,M,2,0,1.0
38,Amaranthus tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",Annual,1.0,3-11,M,LMH,N,M,3,1,2.0
39,Amaranthus viridis,"Calalu, Slender amaranth",Annual,0.5,7-11,,LMH,N,M,3,2,1.0
40,Amelanchier alnifolia cusickii,Cusick's Serviceberry,Shrub,3.0,0-0,,LMH,SN,M,4,1,0.0
41,Amorphophallus rivieri,"Devil's Tongue, Umbrella Arum, Leopard Palm, Snake Palm",Perennial,0.8,10-11,,LM,SN,M,2,2,1.0
42,Ampelopsis humulifolia,,Climber,6.0,4-8,,M,SN,M,2,0,
43,Anacardium occidentale,"Cashew, Caju",Tree,12.0,9-12,S,LMH,N,M,5,3,3.0
44,Anemone canadensis,Canadian Anemone,Perennial,0.6,3-7,M,LMH,S,M,0,2,
45,Anemone cylindrica,Candle Anemone,Perennial,0.5,4-8,,LMH,S,M,0,2,
46,Anemone rivularis,Cao Yu Mei,Perennial,0.6,6-9,,LM,FSN,M,1,2,
47,Annona cherimola,"Cherimoya, Custard Apple",Tree,9.0,8-12,F,LMH,N,DM,5,2,2.0
48,Antennaria dioica,"Catsfoot, Stoloniferous pussytoes",Perennial,0.1,4-8,,L,N,DM,0,2,2.0
49,Anthemis arvensis,Corn Chamomile,Annual,0.4,4-8,,LMH,N,DM,0,2,2.0
50,Anthriscus cerefolium,"Chervil, Garden chervil",Biennial,0.5,6-9,,LMH,FSN,M,3,2,1.0
51,Anthriscus sylvestris,"Cow Parsley, Wild chervil",Biennial,1.2,6-9,,LMH,FSN,DM,2,1,1.0
52,Aphananthe aspera,,Tree,20.0,6-9,,LMH,SN,DM,1,0,3.0
53,Apium graveolens dulce,Celery,Biennial,0.6,-,,LM,SN,M,4,2,2.0
54,Apium graveolens rapaceum,Celeriac,Biennial,0.6,5-9,,LMH,S,M,4,2,2.0
55,Aquilegia flavescens,"Columbine, Yellow columbine",Perennial,0.8,4-8,,LM,SN,M,2,1,1.0
56,Aquilegia formosa truncata,Columbine,Perennial,0.9,3-7,,LM,SN,M,2,2,1.0
57,Aquilegia jonesii,"Columbine, Jones' columbine, Blue limestone columbine",Perennial,0.1,3-7,,LM,SN,M,2,1,1.0
58,Aquilegia pubescens,"Columbine, Sierra columbine",Perennial,0.5,4-8,,LM,SN,M,2,1,1.0
59,Aquilegia vulgaris,"Columbine, European columbine, Granny's Bonnet, European Crowfoot",Perennial,1.0,3-9,M,LM,SN,M,2,1,1.0
60,Aralia chinensis,"Chinese Angelica Tree, Pumila Spirea, Chinese Astilbe",Shrub,3.5,4-8,M,LMH,FS,M,2,2,
61,Araujia sericifera,"Cruel Plant, White bladderflower",Climber,10.0,8-11,F,LM,SN,M,1,0,1.0
62,Arbutus canariensis,Canary Madrona,Tree,10.0,7-10,,LM,SN,M,2,0,
63,Ardisia crenata,"Coralberry, Hen's eyes, Spiceberry",Shrub,2.0,7-10,S,LMH,S,M,0,1,1.0
64,Argyranthemum foeniculaceum,,Perennial,1.0,8-11,,LMH,N,DM,1,0,
65,Artemisia cina,"Cina, Santonica",Shrub,1.0,0-0,,LM,S,DM,0,3,
66,Artocarpus integer,Champedak,Tree,20.0,11-12,S,LMH,N,M,4,0,3.0
67,Arum maculatum,Cuckoo Pint,Perennial,0.5,5-9,,LMH,FSN,M,2,1,1.0
68,Arundinaria gigantea,"Canebrake bamboo, Cane Reed, Giant cane",Bamboo,9.0,5-9,,LMH,SN,M,3,1,4.0
69,Asarum splendens,Chinese Wild Ginger,Perennial,0.2,5-9,S,LM,FS,DM,3,0,3.0
